sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
0,267010,-1,Feature 1,0,-0.11855065501285379,1.925946593284607
0,267010,-1,Feature 2,1,-0.007451418918372119,0.5896748304367065
0,267010,-1,Feature 3,2,0.002557457659439782,0.3064504563808441
0,267010,-1,Feature 4,3,0.07705956248927039,-0.9489485025405884
0,267010,-1,Feature 5,4,0.06823729007256861,-2.457200765609741
0,267010,-1,FIS,5,0.00739726011524506,-0.2307204306125641
0,267010,-1,Ag,6,-0.01673536344969709,-0.0743868499994278
0,267010,-1,As,7,-0.0013982125234809123,-0.6132180690765381
0,267010,-1,Au,8,0.011938722183892933,1.306684970855713
0,267010,-1,Cu,9,0.0015431720215550134,0.05222741886973381
0,267010,-1,Sb,10,0.012498151325431696,-0.45168858766555786
0,267010,-1,ΔT,11,0.01958781398416221,-0.005918045062571764
1,76234,-1,Feature 1,0,0.07409598429754662,-0.8519752621650696
1,76234,-1,Feature 2,1,-0.07855305454324951,-1.1887236833572388
1,76234,-1,Feature 3,2,-0.012488895895729775,-0.5367143154144287
1,76234,-1,Feature 4,3,0.05962062385479898,-0.7895089387893677
1,76234,-1,Feature 5,4,-0.012810047947844358,0.7969893217086792
1,76234,-1,FIS,5,-0.030490275968402362,-0.5728898048400879
1,76234,-1,Ag,6,-0.003890165951657691,-0.29783567786216736
1,76234,-1,As,7,-0.008415088813564129,-0.11260830610990524
1,76234,-1,Au,8,-0.01276254795455471,-0.27594244480133057
1,76234,-1,Cu,9,-0.02093844993969667,0.212502121925354
1,76234,-1,Sb,10,-0.0028270542146369678,0.014066528528928757
1,76234,-1,ΔT,11,0.008137399285039905,0.1606243997812271
2,112204,-1,Feature 1,0,0.010539735122619517,-0.763041615486145
2,112204,-1,Feature 2,1,-0.030871797762162263,-1.0902783870697021
2,112204,-1,Feature 3,2,0.003373118307492385,-0.5140829086303711
2,112204,-1,Feature 4,3,0.04813952052339994,-0.767746090888977
2,112204,-1,Feature 5,4,-0.017991303719152165,0.7124247550964355
2,112204,-1,FIS,5,-0.004420953490425745,-0.584650993347168
2,112204,-1,Ag,6,-0.00011160405377629776,0.3590873181819916
2,112204,-1,As,7,-0.08522939506604991,2.6933534145355225
2,112204,-1,Au,8,0.00110874124766098,0.0028165974654257298
2,112204,-1,Cu,9,0.010015176623276527,-0.20819656550884247
2,112204,-1,Sb,10,-0.008352914940461672,0.22320175170898438
2,112204,-1,ΔT,11,0.02840973822349251,0.34740179777145386
3,239602,-1,Feature 1,0,-0.013289950539743897,0.2945587635040283
3,239602,-1,Feature 2,1,-0.012777580610789985,0.12218911200761795
3,239602,-1,Feature 3,2,0.005013200426641781,-0.3320280611515045
3,239602,-1,Feature 4,3,0.024718761292782578,0.04144500941038132
3,239602,-1,Feature 5,4,-0.004473458065358583,0.4851735830307007
3,239602,-1,FIS,5,0.0023128303424354265,-0.5196393132209778
3,239602,-1,Ag,6,-0.007208960145210902,-0.3898316025733948
3,239602,-1,As,7,0.0037022670523156422,-0.29595947265625
3,239602,-1,Au,8,-0.0042559897489010436,-0.3083466589450836
3,239602,-1,Cu,9,0.007988755455448974,-0.3056713044643402
3,239602,-1,Sb,10,0.0023905364139643575,-0.32182577252388
3,239602,-1,ΔT,11,-0.00487086891822174,-1.2754850387573242
4,259841,-1,Feature 1,0,-0.031016886133808676,0.28026026487350464
4,259841,-1,Feature 2,1,0.003399009182392008,0.2010517418384552
4,259841,-1,Feature 3,2,-0.016507906185962963,-0.215251162648201
4,259841,-1,Feature 4,3,0.02397064193133447,0.144866943359375
4,259841,-1,Feature 5,4,-0.011199625504284397,0.4327586591243744
4,259841,-1,FIS,5,-0.004536667337147626,-0.5475339889526367
4,259841,-1,Ag,6,-0.003624143049443936,-0.27727916836738586
4,259841,-1,As,7,0.0031921892000368077,-0.14059773087501526
4,259841,-1,Au,8,-0.00908896290065997,-0.3273128867149353
4,259841,-1,Cu,9,-0.00280186314750083,-0.08770672231912613
4,259841,-1,Sb,10,0.0010708640797140998,-0.1579292118549347
4,259841,-1,ΔT,11,0.007218493694540722,-1.4731018543243408
5,121893,-1,Feature 1,0,0.035904187899445494,-0.8523076176643372
5,121893,-1,Feature 2,1,-0.02377984661055145,-1.1900231838226318
5,121893,-1,Feature 3,2,0.011447993379700318,-0.5389382839202881
5,121893,-1,Feature 4,3,0.03600952464069355,-0.7909508943557739
5,121893,-1,Feature 5,4,-0.012617312832227556,0.7977198958396912
5,121893,-1,FIS,5,-0.018208812408343978,-0.5601339340209961
5,121893,-1,Ag,6,0.0020107739166852355,0.0712525025010109
5,121893,-1,As,7,-0.018132232471109164,0.4051429331302643
5,121893,-1,Au,8,0.08062844220670379,1.0235234498977661
5,121893,-1,Cu,9,-0.003485723697333214,-0.3411058187484741
5,121893,-1,Sb,10,-0.0016270109661379389,0.16617098450660706
5,121893,-1,ΔT,11,-0.010619971969848211,-0.4252505898475647
6,55855,-1,Feature 1,0,-0.009867128194457672,0.5484647750854492
6,55855,-1,Feature 2,1,0.00825305977043038,-0.7026727795600891
6,55855,-1,Feature 3,2,-0.008570276897717381,-1.5122320652008057
6,55855,-1,Feature 4,3,0.018107706755924918,-1.1228821277618408
6,55855,-1,Feature 5,4,-0.04137824560058382,0.9502103924751282
6,55855,-1,FIS,5,-0.01461924484764493,-0.4957694113254547
6,55855,-1,Ag,6,-0.04909564847295603,0.703346312046051
6,55855,-1,As,7,0.03534951881143158,3.3911900520324707
6,55855,-1,Au,8,0.10070466160851066,1.1046738624572754
6,55855,-1,Cu,9,-0.002367412251996777,0.9450125098228455
6,55855,-1,Sb,10,0.0038379129541767708,-0.08610153943300247
6,55855,-1,ΔT,11,0.008538177725872185,0.09814175218343735
7,131627,-1,Feature 1,0,-0.04350607682011643,-0.1333499550819397
7,131627,-1,Feature 2,1,0.00579576273753771,-0.4145877957344055
7,131627,-1,Feature 3,2,-0.010541935371203615,-0.42080527544021606
