channel,importance
Feature 1,0.032176385763235685
Feature 2,0.02768157908582844
Feature 3,0.014004937658100725
Feature 4,0.033355339927367895
Feature 5,0.014519599919981821
FIS,0.013408377010684808
Ag,0.011325371029909334
As,0.015735163125226256
Au,0.01267851903517915
Cu,0.013775499777847831
Sb,0.011902930088711088
ΔT,0.01980973225021482
