sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
0,267010,-1,Feature 1,0,-0.021389798230123918,1.925946593284607
0,267010,-1,Feature 2,1,-0.014168131904154247,0.5896748304367065
0,267010,-1,Feature 3,2,-0.010904840431629427,0.3064504563808441
0,267010,-1,Feature 4,3,-0.04603647349348011,-0.9489485025405884
0,267010,-1,Feature 5,4,0.04313807437997346,-2.457200765609741
0,267010,-1,FIS,5,0.02567531963333008,-0.2307204306125641
0,267010,-1,Ag,6,-0.0016510029483422992,-0.0743868499994278
0,267010,-1,As,7,-0.016448826345661582,-0.6132180690765381
0,267010,-1,Au,8,0.08763819002903495,1.306684970855713
0,267010,-1,Cu,9,-0.010857986079261878,0.05222741886973381
0,267010,-1,Sb,10,0.008417074655782033,-0.45168858766555786
0,267010,-1,ΔT,11,0.013421769046223634,-0.005918045062571764
1,76234,-1,Feature 1,0,0.022504116850970646,-0.8519752621650696
1,76234,-1,Feature 2,1,-0.05052675148865288,-1.1887236833572388
1,76234,-1,Feature 3,2,0.007329451385772343,-0.5367143154144287
1,76234,-1,Feature 4,3,0.025907754655004396,-0.7895089387893677
1,76234,-1,Feature 5,4,-0.020478775795191684,0.7969893217086792
1,76234,-1,FIS,5,0.009925325240764019,-0.5728898048400879
1,76234,-1,Ag,6,-0.006883859735057657,-0.29783567786216736
1,76234,-1,As,7,0.0010079377106623263,-0.11260830610990524
1,76234,-1,Au,8,-0.02098704260168122,-0.27594244480133057
1,76234,-1,Cu,9,-0.029866081465005963,0.212502121925354
1,76234,-1,Sb,10,-0.0016021572873200184,0.014066528528928757
1,76234,-1,ΔT,11,0.002135548248650672,0.1606243997812271
2,112204,-1,Feature 1,0,-0.0024685440565867696,-0.763041615486145
2,112204,-1,Feature 2,1,-0.06050915076103923,-1.0902783870697021
2,112204,-1,Feature 3,2,0.019146482646299885,-0.5140829086303711
2,112204,-1,Feature 4,3,-0.027067006322234542,-0.767746090888977
2,112204,-1,Feature 5,4,-0.001958002265656883,0.7124247550964355
2,112204,-1,FIS,5,0.006708244682230483,-0.584650993347168
2,112204,-1,Ag,6,0.021233464502363745,0.3590873181819916
2,112204,-1,As,7,-0.03588569752699548,2.6933534145355225
2,112204,-1,Au,8,-0.03620047844768398,0.0028165974654257298
2,112204,-1,Cu,9,0.0014858827841390482,-0.20819656550884247
2,112204,-1,Sb,10,-0.0031462469822245006,0.22320175170898438
2,112204,-1,ΔT,11,0.021900781597052166,0.34740179777145386
3,239602,-1,Feature 1,0,-0.004745792958435265,0.2945587635040283
3,239602,-1,Feature 2,1,0.0007112306540552255,0.12218911200761795
3,239602,-1,Feature 3,2,0.00677083040692518,-0.3320280611515045
3,239602,-1,Feature 4,3,0.0052358665990650775,0.04144500941038132
3,239602,-1,Feature 5,4,-0.006113550611009063,0.4851735830307007
3,239602,-1,FIS,5,0.00758868822229105,-0.5196393132209778
3,239602,-1,Ag,6,0.0009563443638531041,-0.3898316025733948
3,239602,-1,As,7,0.005826323968464628,-0.29595947265625
3,239602,-1,Au,8,-0.0303343795420829,-0.3083466589450836
3,239602,-1,Cu,9,-0.004523904885446044,-0.3056713044643402
