sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
0,267010,-1,Feature 1,0,-0.1086125935977796,1.925946593284607
0,267010,-1,Feature 2,1,0.004922627177551557,0.5896748304367065
0,267010,-1,Feature 3,2,0.0011418993997223664,0.3064504563808441
0,267010,-1,Feature 4,3,0.01005349362054149,-0.9489485025405884
0,267010,-1,Feature 5,4,0.09113855586400461,-2.457200765609741
0,267010,-1,FIS,5,-0.007074824672938227,-0.2307204306125641
0,267010,-1,Ag,6,0.005313675738423424,-0.0743868499994278
0,267010,-1,As,7,-0.02065827590952347,-0.6132180690765381
0,267010,-1,Au,8,0.030653321977084674,1.306684970855713
0,267010,-1,Cu,9,-0.0032014598848819752,0.05222741886973381
0,267010,-1,Sb,10,0.0134931934957123,-0.45168858766555786
0,267010,-1,ΔT,11,0.0101751954205973,-0.005918045062571764
1,76234,-1,Feature 1,0,0.046501235541741674,-0.8519752621650696
1,76234,-1,Feature 2,1,-0.027875747619519792,-1.1887236833572388
1,76234,-1,Feature 3,2,0.013048166706130158,-0.5367143154144287
1,76234,-1,Feature 4,3,-0.00959401202147713,-0.7895089387893677
1,76234,-1,Feature 5,4,-0.020404846169186287,0.7969893217086792
1,76234,-1,FIS,5,-0.0005380869471513809,-0.5728898048400879
1,76234,-1,Ag,6,-0.006338175162242965,-0.29783567786216736
1,76234,-1,As,7,-0.005205618196101485,-0.11260830610990524
1,76234,-1,Au,8,-0.005730436643427837,-0.27594244480133057
1,76234,-1,Cu,9,-0.025539612476930196,0.212502121925354
1,76234,-1,Sb,10,0.007699861483847927,0.014066528528928757
1,76234,-1,ΔT,11,0.006623798807522004,0.1606243997812271
2,112204,-1,Feature 1,0,0.025626957605009344,-0.763041615486145
2,112204,-1,Feature 2,1,-0.00693729441281275,-1.0902783870697021
2,112204,-1,Feature 3,2,0.003769183217511825,-0.5140829086303711
2,112204,-1,Feature 4,3,0.005487397695034709,-0.767746090888977
2,112204,-1,Feature 5,4,-0.017199782000439,0.7124247550964355
2,112204,-1,FIS,5,-0.006677282372092412,-0.584650993347168
2,112204,-1,Ag,6,-0.0005663267959149265,0.3590873181819916
2,112204,-1,As,7,0.01277900708273956,2.6933534145355225
2,112204,-1,Au,8,-0.0007909326895609811,0.0028165974654257298
2,112204,-1,Cu,9,-0.005836659353351955,-0.20819656550884247
2,112204,-1,Sb,10,-0.010434635216076446,0.22320175170898438
2,112204,-1,ΔT,11,-0.005822780106607858,0.34740179777145386
3,239602,-1,Feature 1,0,-0.016111400138554874,0.2945587635040283
3,239602,-1,Feature 2,1,0.014903449163568823,0.12218911200761795
3,239602,-1,Feature 3,2,0.014451171929223417,-0.3320280611515045
3,239602,-1,Feature 4,3,-0.005482371203939598,0.04144500941038132
3,239602,-1,Feature 5,4,-0.012250034078168378,0.4851735830307007
3,239602,-1,FIS,5,0.008877975298130399,-0.5196393132209778
3,239602,-1,Ag,6,-0.00688819285274951,-0.3898316025733948
3,239602,-1,As,7,-0.0016666566283737693,-0.29595947265625
3,239602,-1,Au,8,0.001052580626393112,-0.3083466589450836
3,239602,-1,Cu,9,0.006342189329914242,-0.3056713044643402
3,239602,-1,Sb,10,0.008484439982213066,-0.32182577252388
3,239602,-1,ΔT,11,-0.04154498953944321,-1.2754850387573242
4,259841,-1,Feature 1,0,-0.035140912187694245,0.28026026487350464
4,259841,-1,Feature 2,1,0.025549220769595267,0.2010517418384552
4,259841,-1,Feature 3,2,0.009905077633987765,-0.215251162648201
4,259841,-1,Feature 4,3,-0.007161705428965374,0.144866943359375
4,259841,-1,Feature 5,4,-0.01793248604464626,0.4327586591243744
4,259841,-1,FIS,5,0.0008735494223152325,-0.5475339889526367
4,259841,-1,Ag,6,-0.0030882027789463223,-0.27727916836738586
4,259841,-1,As,7,-0.006971714422414887,-0.14059773087501526
4,259841,-1,Au,8,-0.0001335992841582512,-0.3273128867149353
