channel,importance
Feature 1,0.027652627657139557
Feature 2,0.01890786154907147
Feature 3,0.017949522131044712
Feature 4,0.03259096777961374
Feature 5,0.0174263546492459
FIS,0.013789392169533597
Ag,0.01182377676479749
As,0.013625430690959325
Au,0.012542959075239462
Cu,0.010668577589918295
Sb,0.011589466609990186
ΔT,0.0166918552579059
