sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
0,267010,-1,Feature 1,0,-0.03874071054681158,1.925946593284607
0,267010,-1,Feature 2,1,0.017776159206146787,0.5896748304367065
0,267010,-1,Feature 3,2,0.01982157979921361,0.3064504563808441
0,267010,-1,Feature 4,3,-0.02709252866509299,-0.9489485025405884
0,267010,-1,Feature 5,4,0.022253001938295734,-2.457200765609741
0,267010,-1,FIS,5,0.032336887011150214,-0.2307204306125641
0,267010,-1,Ag,6,-0.002313722118766796,-0.0743868499994278
0,267010,-1,As,7,-0.0222835837881962,-0.6132180690765381
0,267010,-1,Au,8,-0.03553593764601951,1.306684970855713
0,267010,-1,Cu,9,-0.005451221711870708,0.05222741886973381
0,267010,-1,Sb,10,0.022341782493666543,-0.45168858766555786
0,267010,-1,ΔT,11,0.0207073001971018,-0.005918045062571764
1,76234,-1,Feature 1,0,0.03218877282612135,-0.8519752621650696
1,76234,-1,Feature 2,1,-0.037018319921707565,-1.1887236833572388
1,76234,-1,Feature 3,2,-0.0007713562978741944,-0.5367143154144287
1,76234,-1,Feature 4,3,0.039410514284008574,-0.7895089387893677
1,76234,-1,Feature 5,4,-0.009467426146131592,0.7969893217086792
1,76234,-1,FIS,5,0.010648720694189288,-0.5728898048400879
1,76234,-1,Ag,6,-0.005642214781546513,-0.29783567786216736
1,76234,-1,As,7,0.011364203140585121,-0.11260830610990524
1,76234,-1,Au,8,-0.008929518181624393,-0.27594244480133057
1,76234,-1,Cu,9,-0.005250164248883129,0.212502121925354
1,76234,-1,Sb,10,-0.002881999465514411,0.014066528528928757
1,76234,-1,ΔT,11,0.011015538461921671,0.1606243997812271
2,112204,-1,Feature 1,0,0.028422594764216765,-0.763041615486145
2,112204,-1,Feature 2,1,-0.045116659986590396,-1.0902783870697021
2,112204,-1,Feature 3,2,0.008244770647726368,-0.5140829086303711
2,112204,-1,Feature 4,3,0.007885634780401475,-0.767746090888977
2,112204,-1,Feature 5,4,-0.024755508056416627,0.7124247550964355
2,112204,-1,FIS,5,-0.011112079584994425,-0.584650993347168
2,112204,-1,Ag,6,-0.02276080629104034,0.3590873181819916
2,112204,-1,As,7,-0.14763561113911977,2.6933534145355225
2,112204,-1,Au,8,-0.014968764553205515,0.0028165974654257298
2,112204,-1,Cu,9,0.00763360709362039,-0.20819656550884247
2,112204,-1,Sb,10,-0.0074034750289869115,0.22320175170898438
2,112204,-1,ΔT,11,0.013053039315732793,0.34740179777145386
3,239602,-1,Feature 1,0,-0.017422909551333167,0.2945587635040283
3,239602,-1,Feature 2,1,0.012900920836945424,0.12218911200761795
3,239602,-1,Feature 3,2,0.009514678102665892,-0.3320280611515045
3,239602,-1,Feature 4,3,0.009248887535112592,0.04144500941038132
3,239602,-1,Feature 5,4,-0.009131391389495345,0.4851735830307007
3,239602,-1,FIS,5,-0.004829528271018174,-0.5196393132209778
3,239602,-1,Ag,6,0.0009004003219577803,-0.3898316025733948
3,239602,-1,As,7,0.015242636823192851,-0.29595947265625
3,239602,-1,Au,8,-0.001062362382667481,-0.3083466589450836
3,239602,-1,Cu,9,0.006470463480174534,-0.3056713044643402
3,239602,-1,Sb,10,-0.001085033844558962,-0.32182577252388
3,239602,-1,ΔT,11,0.030678312656249866,-1.2754850387573242
4,259841,-1,Feature 1,0,-0.02096896164234103,0.28026026487350464
4,259841,-1,Feature 2,1,0.009767130564039028,0.2010517418384552
4,259841,-1,Feature 3,2,0.002658388352531167,-0.215251162648201
4,259841,-1,Feature 4,3,0.005646148110227916,0.144866943359375
4,259841,-1,Feature 5,4,-0.02017801232908652,0.4327586591243744
4,259841,-1,FIS,5,-0.008106985814431266,-0.5475339889526367
4,259841,-1,Ag,6,-0.0024672041924421193,-0.27727916836738586
4,259841,-1,As,7,0.008470336150971588,-0.14059773087501526
4,259841,-1,Au,8,-0.0030584051962878776,-0.3273128867149353
4,259841,-1,Cu,9,-0.0032135333506521967,-0.08770672231912613
4,259841,-1,Sb,10,-0.0045117206647904175,-0.1579292118549347
4,259841,-1,ΔT,11,-0.017486777417311528,-1.4731018543243408
5,121893,-1,Feature 1,0,0.04111086869878102,-0.8523076176643372
5,121893,-1,Feature 2,1,-0.020261367053208683,-1.1900231838226318
5,121893,-1,Feature 3,2,-0.007734158376145383,-0.5389382839202881
5,121893,-1,Feature 4,3,0.027100685238805024,-0.7909508943557739
5,121893,-1,Feature 5,4,-0.0001863470203468942,0.7977198958396912
5,121893,-1,FIS,5,0.009704042330732581,-0.5601339340209961
5,121893,-1,Ag,6,0.0023522451108918744,0.0712525025010109
