sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
0,267010,-1,Feature 1,0,-0.12618291769987486,1.925946593284607
0,267010,-1,Feature 2,1,0.004023705052535288,0.5896748304367065
0,267010,-1,Feature 3,2,0.02103963082333482,0.3064504563808441
0,267010,-1,Feature 4,3,0.016644508263864766,-0.9489485025405884
0,267010,-1,Feature 5,4,0.0821315847147515,-2.457200765609741
0,267010,-1,FIS,5,0.004953101630579963,-0.2307204306125641
0,267010,-1,Ag,6,0.001644911708831114,-0.0743868499994278
0,267010,-1,As,7,-0.016926063569607522,-0.6132180690765381
0,267010,-1,Au,8,0.022838108632425882,1.306684970855713
0,267010,-1,Cu,9,-0.007475748922729076,0.05222741886973381
0,267010,-1,Sb,10,0.016471333601080267,-0.45168858766555786
0,267010,-1,ΔT,11,0.014017061137363514,-0.005918045062571764
1,76234,-1,Feature 1,0,0.023445163344179388,-0.8519752621650696
1,76234,-1,Feature 2,1,-0.038826686967343135,-1.1887236833572388
1,76234,-1,Feature 3,2,0.031745065165606746,-0.5367143154144287
1,76234,-1,Feature 4,3,-0.007387191621741896,-0.7895089387893677
1,76234,-1,Feature 5,4,-0.036613808404734174,0.7969893217086792
1,76234,-1,FIS,5,-0.005442268163112994,-0.5728898048400879
1,76234,-1,Ag,6,-0.0008868384173820061,-0.29783567786216736
1,76234,-1,As,7,0.009766233739832101,-0.11260830610990524
1,76234,-1,Au,8,-0.012714145463466366,-0.27594244480133057
1,76234,-1,Cu,9,-0.018396699151418054,0.212502121925354
1,76234,-1,Sb,10,0.000956532007409654,0.014066528528928757
1,76234,-1,ΔT,11,0.00037683355368169986,0.1606243997812271
2,112204,-1,Feature 1,0,-0.0007534196261334805,-0.763041615486145
2,112204,-1,Feature 2,1,-0.01747778692974665,-1.0902783870697021
2,112204,-1,Feature 3,2,0.02397137899211937,-0.5140829086303711
2,112204,-1,Feature 4,3,-0.01145025927961273,-0.767746090888977
2,112204,-1,Feature 5,4,-0.022445668925925883,0.7124247550964355
2,112204,-1,FIS,5,0.026883192453531424,-0.584650993347168
2,112204,-1,Ag,6,-0.01082758811123344,0.3590873181819916
2,112204,-1,As,7,-0.1067616617903457,2.6933534145355225
