sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
0,267010,-1,Feature 1,0,-0.04406593273007915,1.925946593284607
0,267010,-1,Feature 2,1,0.01635695475071197,0.5896748304367065
0,267010,-1,Feature 3,2,0.01353969036426284,0.3064504563808441
0,267010,-1,Feature 4,3,0.019758072728628222,-0.9489485025405884
0,267010,-1,Feature 5,4,-0.061538050945704074,-2.457200765609741
0,267010,-1,FIS,5,0.023318423412361976,-0.2307204306125641
0,267010,-1,Ag,6,0.00024492061035726737,-0.0743868499994278
0,267010,-1,As,7,-0.0016100535605694662,-0.6132180690765381
0,267010,-1,Au,8,0.009413058566689732,1.306684970855713
0,267010,-1,Cu,9,-0.012661059716501152,0.05222741886973381
0,267010,-1,Sb,10,0.014143042449187923,-0.45168858766555786
0,267010,-1,ΔT,11,0.005582620043023987,-0.005918045062571764
1,76234,-1,Feature 1,0,0.03487565134198511,-0.8519752621650696
1,76234,-1,Feature 2,1,-0.034967444524864666,-1.1887236833572388
1,76234,-1,Feature 3,2,0.011070235733354935,-0.5367143154144287
1,76234,-1,Feature 4,3,-0.0017390627832944156,-0.7895089387893677
1,76234,-1,Feature 5,4,0.0014084220564298325,0.7969893217086792
1,76234,-1,FIS,5,0.0001507213981021174,-0.5728898048400879
1,76234,-1,Ag,6,-0.0049371494468878245,-0.29783567786216736
1,76234,-1,As,7,0.006874034135787508,-0.11260830610990524
1,76234,-1,Au,8,-0.006225658092454464,-0.27594244480133057
1,76234,-1,Cu,9,-0.00030327687685093366,0.212502121925354
1,76234,-1,Sb,10,0.0019329153009538524,0.014066528528928757
1,76234,-1,ΔT,11,0.0006439701413546933,0.1606243997812271
2,112204,-1,Feature 1,0,0.0031920216568916767,-0.763041615486145
2,112204,-1,Feature 2,1,0.004272817148596467,-1.0902783870697021
2,112204,-1,Feature 3,2,0.0026901155856718564,-0.5140829086303711
2,112204,-1,Feature 4,3,-0.008612460889208026,-0.767746090888977
2,112204,-1,Feature 5,4,-0.0033954662618789987,0.7124247550964355
2,112204,-1,FIS,5,0.006552615945634714,-0.584650993347168
2,112204,-1,Ag,6,0.005806891452121815,0.3590873181819916
2,112204,-1,As,7,-0.0185103736804025,2.6933534145355225
2,112204,-1,Au,8,0.007331072939425544,0.0028165974654257298
2,112204,-1,Cu,9,-0.0026668171981892087,-0.20819656550884247
2,112204,-1,Sb,10,-0.012148801268795908,0.22320175170898438
2,112204,-1,ΔT,11,-0.012847903669742365,0.34740179777145386
3,239602,-1,Feature 1,0,-0.014464621233128428,0.2945587635040283
3,239602,-1,Feature 2,1,0.009077989647464623,0.12218911200761795
3,239602,-1,Feature 3,2,0.0021056648063368126,-0.3320280611515045
3,239602,-1,Feature 4,3,-0.010109377293629618,0.04144500941038132
3,239602,-1,Feature 5,4,0.002160314249135768,0.4851735830307007
3,239602,-1,FIS,5,0.005257740375162298,-0.5196393132209778
3,239602,-1,Ag,6,-0.008602875567108958,-0.3898316025733948
3,239602,-1,As,7,0.007494842239738567,-0.29595947265625
3,239602,-1,Au,8,0.0007743464900666111,-0.3083466589450836
3,239602,-1,Cu,9,0.004829453861863808,-0.3056713044643402
3,239602,-1,Sb,10,0.004891470541849254,-0.32182577252388
3,239602,-1,ΔT,11,0.011966041547166257,-1.2754850387573242
4,259841,-1,Feature 1,0,-0.023137138204858007,0.28026026487350464
4,259841,-1,Feature 2,1,0.01588242649630229,0.2010517418384552
4,259841,-1,Feature 3,2,0.0038403524110637547,-0.215251162648201
4,259841,-1,Feature 4,3,-0.008844032167674636,0.144866943359375
4,259841,-1,Feature 5,4,0.004012638009273814,0.4327586591243744
4,259841,-1,FIS,5,-0.0032359083221567657,-0.5475339889526367
4,259841,-1,Ag,6,-0.0028177462451675003,-0.27727916836738586
4,259841,-1,As,7,-0.003917233546423539,-0.14059773087501526
4,259841,-1,Au,8,0.0013377257318310596,-0.3273128867149353
4,259841,-1,Cu,9,0.004598564683339245,-0.08770672231912613
4,259841,-1,Sb,10,0.005425182108350862,-0.1579292118549347
4,259841,-1,ΔT,11,0.013258986517819002,-1.4731018543243408
5,121893,-1,Feature 1,0,-0.000783485182038722,-0.8523076176643372
5,121893,-1,Feature 2,1,-0.007498544238945373,-1.1900231838226318
5,121893,-1,Feature 3,2,0.014834576523789757,-0.5389382839202881
5,121893,-1,Feature 4,3,-0.02024971926670484,-0.7909508943557739
5,121893,-1,Feature 5,4,0.033434203847146945,0.7977198958396912
5,121893,-1,FIS,5,0.008768412803351285,-0.5601339340209961
5,121893,-1,Ag,6,0.0040014839361822725,0.0712525025010109
5,121893,-1,As,7,-0.011481584429026923,0.4051429331302643
5,121893,-1,Au,8,0.008304335435593007,1.0235234498977661
5,121893,-1,Cu,9,-0.008295551095753043,-0.3411058187484741
5,121893,-1,Sb,10,-0.008350707589489264,0.16617098450660706
5,121893,-1,ΔT,11,0.012103111918178689,-0.4252505898475647
6,55855,-1,Feature 1,0,-0.014066137604244158,0.5484647750854492
6,55855,-1,Feature 2,1,0.035183530509348165,-0.7026727795600891
6,55855,-1,Feature 3,2,0.020507657886025474,-1.5122320652008057
6,55855,-1,Feature 4,3,-0.021126032951635156,-1.1228821277618408
6,55855,-1,Feature 5,4,-0.002028529155024152,0.9502103924751282
6,55855,-1,FIS,5,-0.0017005710852984344,-0.4957694113254547
6,55855,-1,Ag,6,0.038011812775836075,0.703346312046051
6,55855,-1,As,7,-0.04657865859671134,3.3911900520324707
6,55855,-1,Au,8,0.046629539788681625,1.1046738624572754
6,55855,-1,Cu,9,0.01713443807198072,0.9450125098228455
6,55855,-1,Sb,10,0.0027682173207114035,-0.08610153943300247
6,55855,-1,ΔT,11,-8.811247226082204e-05,0.09814175218343735
7,131627,-1,Feature 1,0,-0.03196417132091797,-0.1333499550819397
7,131627,-1,Feature 2,1,0.009436306482176658,-0.4145877957344055
7,131627,-1,Feature 3,2,0.009064658796122697,-0.42080527544021606
7,131627,-1,Feature 4,3,-0.008655117865867794,-0.6178461909294128
7,131627,-1,Feature 5,4,-0.0008450549449937749,0.14686837792396545
7,131627,-1,FIS,5,0.029388100333453487,0.8696214556694031
7,131627,-1,Ag,6,-0.03497606404864417,2.139500856399536
7,131627,-1,As,7,0.008542778301418148,0.36960768699645996
7,131627,-1,Au,8,0.0028747565806023297,0.007585161831229925
7,131627,-1,Cu,9,-0.0008510660211077926,-0.4731188714504242
7,131627,-1,Sb,10,0.005755363509099709,-0.1831386238336563
7,131627,-1,ΔT,11,-0.003905098946407857,0.07971526682376862
8,60164,-1,Feature 1,0,-0.012484031220579277,0.10684895515441895
8,60164,-1,Feature 2,1,-0.00591952477688874,1.28213632106781
8,60164,-1,Feature 3,2,0.005589860686898721,1.4024428129196167
8,60164,-1,Feature 4,3,-0.04572608096471764,1.5471057891845703
8,60164,-1,Feature 5,4,0.022161275100637146,-0.30105024576187134
8,60164,-1,FIS,5,0.0031025952531166094,-0.5861924886703491
8,60164,-1,Ag,6,0.004620509030096315,0.2874999940395355
8,60164,-1,As,7,0.021840148696143993,-0.10280684381723404
8,60164,-1,Au,8,0.08602639643406816,2.4160354137420654
8,60164,-1,Cu,9,0.01054355165066402,1.8021668195724487
8,60164,-1,Sb,10,-0.025505173283795618,-0.33713245391845703
8,60164,-1,ΔT,11,0.006851095247215096,0.13888193666934967
9,97255,-1,Feature 1,0,-0.030011151817184004,0.43875083327293396
9,97255,-1,Feature 2,1,-0.025493591695547147,-0.6352851390838623
9,97255,-1,Feature 3,2,-0.01723516594309144,-1.06827974319458
9,97255,-1,Feature 4,3,0.01939664150167546,-0.9580793976783752
9,97255,-1,Feature 5,4,-0.005708150647310368,0.5612054467201233
9,97255,-1,FIS,5,0.019839636802245573,0.36105501651763916
9,97255,-1,Ag,6,0.009511024689236038,0.260482519865036
9,97255,-1,As,7,-0.006992105346760016,0.5220654606819153
9,97255,-1,Au,8,0.0001081546699604606,-0.2209412306547165
9,97255,-1,Cu,9,0.007170809394567286,-0.1987987607717514
9,97255,-1,Sb,10,0.004870832629158458,-0.3378054201602936
9,97255,-1,ΔT,11,0.004372902511925589,-0.0803816020488739
10,297718,-1,Feature 1,0,0.027963447268645074,-1.2268534898757935
10,297718,-1,Feature 2,1,-0.03604105978374324,-1.6639864444732666
10,297718,-1,Feature 3,2,-0.010431366856493355,-1.553653359413147
10,297718,-1,Feature 4,3,0.009723830795243362,-0.19506004452705383
10,297718,-1,Feature 5,4,0.019712815221014496,1.1665441989898682
