channel,importance
Feature 1,0.023305767582937283
Feature 2,0.017433445948460004
Feature 3,0.01031224297599704
Feature 4,0.016735708710581547
Feature 5,0.010499910589966759
FIS,0.010918390291955613
Ag,0.016607252043610847
As,0.011046197951517867
Au,0.014004519603477822
Cu,0.009571098370422098
Sb,0.007949322192504138
ΔT,0.012876095749873138
